V1,V2,V3,V4
021406667NATL,BRIDGEHAMPTONBRIDGEHAMPTON NATIONAL BANK       ,Y,Y
021407912NORTH,"FORK BANK CAPITAL ONE, N.A.     ",Y,N20080422
021408597PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
021411335FIRST,GLEN HEAD FIRST NATIONAL BANK OF LONG ISLAND  ,Y,Y
021412114NYCX,NEW YORK COMMERCIAL BANK      ,Y,Y20140916
021413155NATL,BRIDGEHAMPTONBRIDGEHAMPTON NATIONAL BANK       ,Y,N20140312
021413388AMER,COMMUNITY BK AMERICAN COMMUNITY BANK     ,Y,N20000105
021413935NATL,BRIDGEHAMPTONBRIDGEHAMPTON NATIONAL BANK       ,Y,N20150619
021414280NATL,BRIDGEHAMPTONBRIDGEHAMPTON NATIONAL BANK       ,Y,N20140214
021414426EMPIRE,NATL BANK EMPIRE NATIONAL BANK     ,Y,Y20121227
021414455GOLD,COAST BANK GOLD COAST BANK     ,Y,Y20140210
021473030QUONTIC,BANK QUONTIC BANK       ,Y,Y20100803
021484524AM,BR EMPL FCU AMERICAN BROADCAST EMPL FCU   ,Y,N20130118
021502011BANCO,POPULAR PR BANCO POPULAR DE PUERTO RICO   ,Y,Y
021502118GOVERNMENT,DEV PR GOVERNMENT DEVELOPMENT BANK P.R.    ,Y,Y20140617
021502150CARACAS,INT'L CARACAS INTERNATIONAL BANKING CORP     ,Y,Y20130422
021502189FACE,BANK FACE BANK INTERNATIONAL CORPORATION     ,Y,Y20130426
021502202BBO,INT'L PRIV BK BBO INTERNATIONAL PRIVATE BANK   ,Y,N20070906
021502215ITALBANK,"ITALBANK INTERNATIONAL, INC.       ",Y,N20150223
021502228ORIENTAL,BANK ORIENTAL BANK       ,Y,N20131211
021502231BANCREDITO,BANCREDITO INT'L BANK CORP.      ,Y,N20111107
021502257ARCA,"INTL BANK ARCA INTERNATIONAL BANK, INC.    ",Y,N20150723
021502260NODUS,"INTL BANK NODUS INTERNATIONAL BANK, INC    ",Y,SY20131114
021502286BANCO,SAN JUAN BANCO SAN JUAN INTERNACIONAL INC   ,Y,Y20130514
021502309ACTIVOINTERBANK,"ACTIVO INTERNATIONAL BANK, INC.      ",Y,N20141107
021502325ELITE,"ELITE INTERNATIONAL BANK, INC      ",Y,N20150304
021502341BANCO,"SANTANDER PRBANCO SANTANDER, PUERTO RICO     ",Y,Y20000315
021502383BCO,COOPERATIVO PRBANCO COOPERATIVO DE PUERTO RICO    ,Y,Y
021502396ANDCAPITAL,BANK ANDCAPITAL BANK INTERNATIONAL CORP.     ,Y,N20150416
021502804SCOTIABANK,PR SCOTIABANK DE PUERTO RICO     ,Y,SY20120224
021606690BK,ST CROIX BANK OF ST. CROIX    ,Y,Y20100728
021800195VEN,DMK DIS PC VENEZUELA DMK DIS SERIES/FUNDS   ,N,Y20141107
021800205VEN,DMK PAR PC VENEZUELA DMK PAR SERIES/FOREIGN   ,N,Y20141107
021800221VEN,FFF PAR PC VENEZUELA FFF PAR SERIES/FOREIGN   ,N,Y20141107
021800247VEN,LRA PAR PC VENEZUELA LRA PAR SERIES/FOREIGN   ,N,Y20141107
021800263VEN,SSF PAR PC VENEZUELA SSF PAR SERIES/FOREIGN   ,N,Y20141107
021800292VEN,DMK DIS IC VENEZUELA DMK DIS SERIES/FOREIGN   ,N,Y20141107
021800302VEN,DMK PAR IC VENEZUELA DMK PAR SERIES/FOREIGN   ,N,Y20141107
021800328VEN,FFF PAR IC VENEZUELA FFF PAR SERIES/FOREIGN   ,N,Y20141107
021800344VEN,LRA PAR IC VENEZUELA LRA PAR SERIES/FOREIGN   ,N,Y20141107
021800467URU,USD FRN A PC URUGUAY USD FRN SERIES A/FOREIGN ,N,Y20141107
021800470URU,USD FRN B PC URUGUAY USD FRN SERIES B/FOREIGN ,N,Y20141107
021902475ORANGE,MIDDLETOWN ORANGE COUNTY TRUST COMPANY     ,Y,Y
021906808PUTNAM,CARMEL PUTNAM COUNTY NATIONAL BANK     ,Y,Y
021907975BK,MILLBROOK BANK OF MILLBROOK      ,Y,Y
021909300HUDSON,YONKERS STERLING NATIONAL BANK      ,Y,Y20150701
021909342JEFF,BANK JEFF BANK       ,Y,Y20130605
021911343SALISBURY,LAKEVLLESALISBURY BANK & TRUST CO.     ,Y,N20150107
021911369COUNTRY,BANK COUNTRY BANK       ,Y,N20131105
021911398MAHOPAC,BK MAHOPAC BANK       ,Y,Y20140103
021912410NATL,ELLENVILLE STERLING NATIONAL BANK      ,Y,N20141107
021912915TD,"BANK USA, N.A. TD BANK USA, NATIONAL ASSOCIATION  ",Y,N20100308
021912928CATSKILL,HUD BK CATSKILL HUDSON BANK     ,Y,Y20110328
021913639GREATER,HUDSON GREATER HUDSON BANK      ,Y,N20150615
021913862EMPIRE,"STATE BANK EMPIRE STATE BANK, N.A.    ",Y,Y20081014
021914078USA,BANK NY CUSTOMERS BANK      ,Y,N20120321
021914544WESTCHESTER,BANK THE WESTCHESTER BANK      ,Y,N20100111
022000046MFRS,BUF MANUFACTURERS & TRADERS TRUST CO.    ,Y,Y
022000868CITIBANK,"BUF CITIBANK, N.A.       ",Y,N20141107
022072692FIRST,"NIAGARA FIRST NIAGARA BANK, NA     ",Y,N20141107
022302786STEUBEN,TR HORNELLSTEUBEN TRUST COMPANY      ,Y,Y
022303659NATL,CANANDAIGUA CANANDAIGUA NAT'L BANK & TR. CO.   ,Y,Y
022304030FIVE,STAR BANK FIVE STAR BANK     ,Y,Y20051209
022304616NATL,LYONS LYONS NATIONAL BANK      ,Y,Y
022305770BK,AKRON BANK OF AKRON      ,Y,Y
022306818BK,CASTILE BANK OF CASTILE      ,Y,Y
022306847BANK,CATTARAUGUS BANK OF CATTARAUGUS      ,Y,Y
022307600BANK,HOLLAND BANK OF HOLLAND      ,Y,Y
022307820CATTARAUGUS,VALLEYCATTARAUGUS COUNTY BANK       ,Y,Y
022309611STATE,ALDEN ALDEN STATE BANK      ,Y,Y
022310121EVANS,"ANGOLA EVANS BANK, NATIONAL ASSOCIATION     ",Y,Y20130925
022311117SAVANNAH,"BK NA SAVANNAH BANK, N.A.     ",Y,Y
022313021GENESEE,REGIONAL GENESEE REGIONAL BANK      ,Y,N20131007
022314020EVANS,BK ANGO EVANS NATIONAL BANK OF ANGOLA   ,Y,SN20130930
022314334USNY,BANK USNY BANK       ,Y,N20070817
026000110UNITED,BK AFRICA UNITED BANK FOR AFRICA PLC   ,Y,SN20080411
026000194NORINCHUKIN,BANK THE NORINCHUKIN BANK      ,Y,SY20050208
026000217NATL,BK KUWAIT NATIONAL BANK OF KUWAIT    ,Y,Y
026001122NORTHERN,INTL NYC NORTHERN TRUST INTL BKG. CORP.   ,Y,N20141107
026001287MALAYAN,BERHAD NYCMALAYAN BANKING BERHAD      ,Y,N
026001423ASIA,BANK NYC ASIA BANK. N.A.     ,Y,N20150731
026001465EASTBANK,"NYC EASTBANK, N.A.       ",Y,Y
026001847BCO,BILBAO NYC BANCO BILBAO VIZCAYA ARGENTARIA    ,Y,Y20000907
026002066DTC,SDFSS DEPOSITORY TRUST COMPANY      ,Y,Y20140411
026002095HANA,BANK NYC HANA BANK      ,Y,N20030711
026002341GULF,INTL BK NYC GULF INTERNATIONAL BANK    ,Y,SN
026002532BK,NOVA SCOTIA NYCBANK OF NOVA SCOTIA    ,Y,Y
026002545LANDESBANK,HESSEN LANDESBANK HESSEN-THURINGEN       ,Y,N20130925
026002558CAN,IMPERIAL COMM CANADIAN IMPERIAL BANK OF COMMERCE   ,Y,SY
026002561STANDARD,CHART STANDARD CHARTERED BANK LIMITED     ,Y,Y20020819
026002574BARCLAYS,"PLC BARCLAYS BANK, PLC      ",Y,Y20081218
026002613BANCO,ITAU ITAU UNIBANCO SA NY BRANCH    ,Y,Y20101206
026002655LLOYDS,TSB BK PLC LLOYDS TSB BANK PLC   ,Y,SY20100318
026002749NATWEST,PLC NATIONAL WESTMINSTER BANK PLC     ,N,Y20141107
026002752UN,ORIENT NYC UNITED ORIENT BANK     ,Y,Y
026002794BK,LEUMI TR NY BANK LEUMI USA    ,Y,Y
026002846METRO,BK TR NYC METROPOLITAN BANK & TRUST COMPANY  ,Y,N
026002901RABOBANK,NYC RABOBANK NEDERLAND       ,Y,SY20130814
026002927CATHAY,BANK CATHAY BANK       ,Y,N20120125
026002956MERCANTIL,"COMMERCEMERCANTIL COMMERCEBANK, NA       ",Y,N20120322
026003007PHILIPPINE,NAT NY PHILLIPINE NAT'L BANK     ,Y,Y20020917
026003010WESTDEUT,LANDESBK PORTIGON AG       ,Y,SY20120706
026003023SAFRA,NATIONAL SAFRA NATIONAL BANK OF NEW YORK   ,Y,Y
026003036SKAND,ENSKIBANKEN SKANDINAVISKA ENSKILDA BANKEN      ,Y,SY20080327
026003188BK,SCOTLAND BANK OF SCOTLAND      ,Y,SY20071004
026003191OVERSEA,CHINESE OVERSEA CHINESE BKG. CORP. LIMITED    ,Y,SY20100916
026003243TOR,DOM NY BRANCH TORONTO DOMINION BANK    ,Y,SY20130724
026003269BK,OF CHINA NYC BANK OF CHINA    ,Y,Y
026003272BNB,"HANA BK BNB HANA BANK, NATIONAL ASSOCIATION   ",Y,Y20131114
026003324BCO,REPUBLICA URU BANCO DE LA REPUBLICA ORIENTAL   ,Y,N
026003379AMALGAMATED,BK NYCAMALGAMATED BANK       ,Y,Y20111216
026003447WESTPAC,BKING CORPWESTPAC BANKING CORPORATION      ,Y,SY20080923
026003557BCO,BRASIL NYC BANCO DO BRASIL S.A.    ,Y,Y
026003780DEUTSCHE,"BK NY DEUTSCHE BANK, A.G.     ",Y,Y
026004048ARAB,CORP ARAB BANKING CORPORATION      ,Y,SY
026004093ROYAL,BK CAN NYC ROYAL BANK OF CANADA   ,Y,SY20090610
026004226SOCIETE,GEN SOCIETE GENERALE       ,Y,Y
026004297NATL,BK NYC NATIONAL BANK OF NEW YORK CITY  ,Y,Y
026004307MHBK,"NY MIZUHO BANK, LTD., NEW YORK BRANCH   ",Y,Y20130628
026004624MODERN,"BK NYC MODERN BANK, NATIONAL ASSOCIATION    ",Y,Y20060223
026004721NATL,PAKISTAN NATIONAL BANK OF PAKISTAN     ,Y,Y20130830
026004860BRADESCO,NYC BANCO BRADESCO S.A.      ,Y,N
026004970EW,BK SMRINO EAST WEST BANK     ,Y,N20141107
026005050UNION,"BANK NY MUFG UNION BANK, NA    ",Y,N20140630
026005092WELLSFARGO,NY INTLWELLS FARGO NY INTL     ,Y,N20141107
026005319BANCA,INTESA S.P.AINTESA SANPAOLO SPA      ,Y,Y20061228
026005322BK,BARODA NYC BANK OF BARODA     ,Y,N20030723
026005416WOORI,BANK NYC WOORI BANK      ,Y,N20020912
026005458BK,INDIA NYC BANK OF INDIA     ,Y,N
026005487NATL,CANADA NYC NATIONAL BANK OF CANADA    ,Y,SY20130822
026005610DNB,NOR BANK ASA DNB BANK ASA    ,Y,SY20111117
026005652CITIBANK,"(BDC NY) CITIBANK, N.A.      ",Y,N20120622
026005908MPS,"NYC BANCA MONTE DEI PASCHI DI SIENA,S.PA   ",Y,N20090515
026005911SHANGHAI,COMM NYC SHANGHAI COMMERCIAL BANK LIMITED    ,Y,N
026006004CITIC,BANK INTL-NYCHINA CITIC BANK INTERNATIONAL LTD    ,Y,N20131007
026006020GULF,INTL BK NY GULF INTERNATIONAL BANK (UK) LIMITED  ,Y,SN20150512
026006224BBCN,BANK NY BBCN BANK      ,Y,N20141107
026006237INTERAUDI,BANK INTERAUDI BANK       ,Y,Y20030501
026007113UN,OVERSEAS BK LTDUNITED OVERSEAS BANK LIMITED    ,Y,SN
026007362HABIB,AMERICAN BK HABIB AMERICAN BANK     ,Y,Y
026007443WOORI,AMERICAN BK WOORI AMERICA BANK     ,Y,Y20020826
026007472BK,NEGARA INDONESIBANK NEGARA INDONESIA      ,Y,N20150729
026007582ABNY,NEW YORK COMMERCIAL BANK      ,Y,N20141107
026007689BQE,NAT PARIS BNP PARIBAS      ,Y,Y20070824
026007692BCO,"SANTANDER NYC BANCO SANTANDER, S.A.     ",Y,Y20071017
026007728NATL,AUSTRAL LTD NATIONAL AUSTRALIA BANK     ,Y,SY20041108
026007773LEG,STL STERLING NATIONAL BANK      ,Y,N20141224
026007809HABIB,BK LTD NYC HABIB BANK LIMITED    ,Y,N
026007906UNITED,BK LTD NYC UNITED BANK LIMITED    ,Y,N
026007922FTC,"FTC AT UMB BANK, N.A.     ",Y,N20141107
026007993UBS,AG NYC UBS AG      ,Y,Y20140630
026008044COMMERZBANK,"NYC COMMERZBANK AG, NEW YORK BRANCH    ",Y,Y20110923
026008073CREDIT,AGRICOLE CICREDIT AGRICOLE CIB      ,Y,Y20100205
026008248KBC,"BANK NV NYC KBC BANK, N.V.    ",Y,Y19991228
026008455DZ,BK AG DEUTSCHE DZ BANK AG DEUTSCHE ZENTRAL-GENOSSEN  ,Y,SN20020826
026008536ITALCREDIT,UNICREDIT S.P.A.        ,Y,N20120914
026008552BCO,ARGENTINA NYC BANCO DE LA NACION ARGENTINA   ,Y,N
026008620MUTB,NYC MITSUBISHI UFJ TRUST & BANKING CORP.   ,Y,SY20061030
026008659CF,DE CIC UE CREDIT INDUSTRIEL ET COMMERCIAL   ,Y,SY20000926
026008691BANGKOK,BK NYC BANGKOK BANK PUBLIC COMPANY LIMITED   ,Y,N
026008714BCO,BOGOTA NY AGCYBANCO DE BOGOTA     ,Y,N
026008756BESSEMER,TR NYC BESSEMER TRUST COMPANY     ,Y,Y
026008808BAY,VEREINS BK UNICREDIT BANK AG     ,Y,Y20091222
026008811BCO,POPULAR NOAMERBANCO POPULAR NORTH AMERICA     ,Y,Y20120920
026008853ATLANTIC,BK OF NY NEW YORK COMMERCIAL BANK   ,Y,N20141107
026008866BK,HAPOALIM NYC BANK HAPOALIM B.M.     ,Y,Y
026008905MBK,USA MIZUHO BANK (USA)      ,Y,SY20130628
026009027COMWEALTH,AUSTRAL COMMONWEALTH BANK OF AUSTRALIA     ,Y,SY
026009085ICBC,NYC MEGA INTERNATIONAL COMMERCIAL BANK     ,Y,Y20060921
026009124T.C.,ZIRAAT T.C. ZIRAAT BANKASI      ,Y,Y20071220
026009140ST,BK INDIA NYC STATE BANK OF INDIA   ,Y,Y
026009166ST,BOS SEC NYC STATE STREET BANK & TRUST COMPANY ,Y,N
026009179CR,SUISSE NY CREDIT SUISSE FIRST BOSTON    ,Y,SY19991201
026009247BANDUSTRAL,NYC BANCO INDUSTRIAL DE VENEZUELA     ,Y,Y20000306
026009580ABN,AMRO NYC THE RBS PLC CT BRANCH   ,Y,Y20130607
026009593BK,"AMER NYC BANK OF AMERICA, N.A., NY   ",Y,N20031113
026009632BTMU,LTD NY THE BANK OF TOKYO-MITSUBISHI UFJ LTD  ,Y,Y20060104
026009674SMBC,NY SUMITOMO MITSUI BANKING CORPORATION     ,Y,SY20030728
026009739FHLB,NYC FEDERAL HOME LOAN BANK OF NEW YORK  ,Y,Y20011119
026009768ISRAEL,DISC BK NYCISRAEL DISCOUNT BANK OF NEW YORK  ,Y,Y
026009917ANZ,BK LTD NYC AUSTRALIA & NEW ZEALAND BKG. GROUP ,Y,SY19991230
026009920BGE,FRAN COMM EXTENATIXIS       ,Y,SY20100325
026009988NATL,BK EGYPT NY NATIONAL BANK OF EGYPT   ,Y,Y20010102
026010090SUMITOMO,"MITSUI TRSUMITOMO MITSUI TRUST BANK, LIMITED    ",Y,SY20120404
026010605PROVIDENT,BANK STERLING NATIONAL BANK      ,Y,N20131031
026010773DELTABANK,NYC DELTA NATIONAL BANK & TRUST COMPANY   ,Y,Y20000103
026010786NORDEA,BK FINLAND NORDEA BANK FINLAND PLC    ,Y,N20020102
026010841SVENSKA,HAN NYC SVENSKA HANDELSBANKEN      ,Y,SY20101201
026010883MITSUBISHI,USA MITSUBISHI UFJ TRUST & BK CORP USA  ,Y,SN20071017
026010948IN.,"& COMM. BNK CNINDUSTRIAL & COMM. BNK OF CHINA, NA",Y,Y20130125
026011031SHOKO,CHUKIN BK SHOKO CHUKIN BANK     ,Y,Y20080603
026011125CHIBA,BK CHIBA BANK LTD - N.Y.BRANCH    ,Y,Y
026011167SUMITOMO,MITSUI TRSUMITOMO MITSUI TR BK (USA) LIMITED   ,Y,SN20120330
026011206GZ,"VIENNA ERSTE GROUP BANK AG, NEW YORK   ",Y,Y20080819
026011293MIZUHO,USA MIZUHO TRUST & BANKING CO. (U.S.A.)   ,Y,SN20001024
026011471GUNMA,"BK LTD NYC GUNMA BANK, LIMITED    ",Y,Y20080714
026011484AMERASIA,BK NY AMERASIA BANK      ,Y,Y20061031
026011497NOVO,"BANCO NOVO BANCO, S.A. NEW YORK BRANCH   ",Y,SY20150731
026011617BK,RAKYAT INDO PERPT. BANK RAKYAT INDONESIA (PERSERO)   ,Y,N20111230
026011701MARATHON,NB NY INVESTORS BANK      ,Y,N20121015
026011743MASHREQBANK,PSC NYMASHREQBANK PSC       ,Y,N
026011785CTBC,USA NYC CTBC BANK CORP (USA)    ,Y,N20130822
026011921BERKSHIRE,BANK NYCBERKSHIRE BANK       ,Y,Y
026011947SHIZUOKA,"BK LTD SHIZUOKA BANK, LIMITED     ",Y,SY20031216
026011950SHINHAN,BK NYC SHINHAN BANK      ,Y,N
026011963SHINHAN,BANK AM SHINHAN BANK AMERICA     ,Y,Y20060404
026012030BLADEX,BANCO LATINOAMERICANO DE COMERCIO EX     ,Y,SN20091002
026012043CHANG,"HWA COMM NYCCHANG HWA COMMERCIAL BANK, LIMITED   ",Y,N20150414
026012098IND,BK KOREA NYC INDUSTRIAL BANK OF KOREA   ,Y,N
026012179FST,"COMMERCIAL BK FIRST COMMERCIAL BANK, NY BRANCH   ",Y,Y20100420
026012425HUA,NAN COMM BK HUA NAN COMMERCIAL BANK LIMITED  ,Y,N
026012470BANK,"OF TAIWAN NYCBANK OF TAIWAN,NEW YORK    ",Y,N
026012548NORD,LB NYC NORDDEUTSCHE LANDESBANK GIROZENTRALE     ,Y,SY19991202
026012577SWEDBANK,NYC SWEDBANK NEW YORK BRANCH     ,Y,SY20081204
026012603CR,LOCAL DE FRANCEDEXIA CREDIT LOCAL     ,Y,Y20130327
026012629BK,COMMUNICATIONS BANK OF COMMUNICATIONS      ,Y,N
026012713VAKIBANK,NYC TURKIYE VAKIFLAR BANKASI TAO     ,Y,Y20150204
026013071KOREA,DEVBANK NYC KOREA DEVELOPMENT BANK - NY BRANCH  ,Y,SN20030127
026013136VICTORY,ST BK VICTORY STATE BANK     ,Y,Y20100217
026013165WILSHIRE,BANK WILSHIRE BANK       ,Y,N20141107
026013246BBCN,BANK NY BBCN BANK      ,Y,N20111205
026013275CTBC,"CTBC BANK CO., LTD.      ",Y,N20140716
026013343KOOKMIN,BANK KOOKMIN BANK       ,Y,N20020725
026013356METCOMMBK,NY METROPOLITAN COMMERCIAL BANK      ,Y,Y20131231
026013408FST,AMER INTL NYC FIRST AMERICAN INTERNATIONAL BANK   ,Y,N19991116
026013453LANDESBANK,BADEN LANDESBANK BADEN WURTTEMBERG      ,Y,Y20111209
026013479ALPINE,CAPITAL BK ALPINE CAPITAL BANK     ,Y,Y20000324
026013518CAIXA,GERAL DE DEPCAIXA GERAL DE DEPOSITOS    ,Y,SN20110405
026013576SIGNATURE,BANK SIGNATURE BANK       ,Y,Y20010523
026013615CLSS,CLS BANK INTERNATIONAL       ,Y,N20140411
026013673TD,"BANK, NA TD BANK, NA     ",Y,N20090925
026013767FORTIS,BANK S.A.NVFORTIS BANK SA/NV      ,Y,SY20121213
026013783HSH,NORDBANK AG HSH NORDBANK AG     ,Y,Y20080408
026013796EW,BK SMRINO EAST WEST BANK     ,Y,N20100422
026013851BK,OF EAST ASIA BANK OF EAST ASIA LIMITED  ,Y,Y20031209
026013916EMIGRANT,BANK EMIGRANT BANK       ,Y,Y20041130
026013958CITY,NATIONAL BANKCITY NATIONAL BANK      ,Y,N20050425
026013961BANCO,"ESTADO CHILEBANCO DEL ESTADO DE CHILE, NY BRANCH  ",Y,N20051003
026013990UNITED,INT'L BANK UNITED INTERNATIONAL BANK     ,Y,Y20090113
026014135SPRING,BANK SPRING BANK       ,Y,SN20121210
026014193TD,"BANK USA, N.A. TD BANK USA, NATIONAL ASSOCIATION  ",Y,N20141107
026014216NEWBANK,NEWBANK         ,Y,N20131007
026014245GLOBAL,BANK GLOBAL BANK       ,Y,Y20070905
026014384ALMA,BANK ALMA BANK       ,Y,Y20100728
026014407SAVOY,BANK SAVOY BANK       ,Y,N20110421
026014504ICICI,BANK LIMITEDICICI BANK LIMITED      ,Y,Y20150813
026014559CHINA,"MERCHANTS CHINA MERCHANTS BANK., LIMITED     ",Y,N20090930
026014562ALLIED,"IRISH BANKSALLIED IRISH BANKS, PLC     ",Y,SY20090212
026014591ICBC,INDUSTRIAL & COMM BANK OF CHINA LTD   ,Y,N20091116
026014601GOLDMAN,SACHS BANKGOLDMAN SACHS BANK USA     ,Y,Y20100729
026014627CORPBANCA,"CORPBANCA, NEW YORK BRANCH      ",Y,N20090914
026014630MORGAN,"STANLEY MORGAN STANLEY BANK, N.A.     ",Y,Y20091019
026014643BANCO,ESPIRITO BANCO ESPIRITO SANTO DE INVESTIMENTO    ,Y,SY20130920
026014685CHINA,CONSTRUCTIONCHINA CONSTRUCTION BANK CORPORATION      ,Y,N20100816
026014805LAND,"BANK TAIWAN LAND BANK OF TAIWAN CO., NY BRANCH ",Y,N20110328
026014889AGRICULTURAL,BANK AGRICULTURAL BANK OF CHINA LIMITED    ,Y,N20140407
026014915NONGHYUP,BANK NONGHYUP BANK       ,Y,N20130820
026014944CANARA,"BANK NY CANARA BANK, NEW YORK BRANCH   ",Y,N20150223
026072973FIRST,CENTRAL FIRST CENTRAL SAVINGS BANK     ,Y,N20150331
026073008COMMUNITY,FSB COMMUNITY FEDERAL SAVINGS BANK     ,Y,N20140925
026073066ESQUIRE,BANK ESQUIRE BANK       ,Y,Y20090731
026073082BCO,POPULAR NOAMERBANCO POPULAR NORTH AMERICA     ,Y,N20150724
026073134M.Y.,"SAFRA BK, FSBM.Y. SAFRA BANK, FSB    ",Y,N20141015
026084628THE,FINEST FCU NY THE FINEST FCU    ,Y,N20150727
026510037ARG,USD DIS L PC ARGENTINA USD DIS SER L/FOREIGN DEPT,Y,Y20060110
026510053ARG,USD PAR L PC ARGENTINA USD PAR SER L/FOREIGN DEPT,Y,Y20060110
026510079ARG,DMK DIS PC ARGENTINA DMK DIS SER/FOREIGN DEPT  ,N,Y20141107
026510082ARG,DMK PAR PC ARGENTINA DMK PAR SER/FOREIGN DEPT  ,N,Y20141107
026510095ARG,DMK DIS IC ARGENTINA DMK DIS SER IC/FOREIGN  ,N,Y20141107
026510105ARG,DMK PAR IC ARGENTINA DMK PAR SER IC/FOREIGN  ,N,Y20141107
026510189DOMINICAN,DIS PC DOMINICAN DIS SERIES BDS PC FNDS/SEC  ,Y,Y
026510215POLAND,PAR PC POLAND PAR BONDS FNDS/SEC    ,N,Y20121226
026510312ECUADOR,DIS PC ECUADOR USD DIS SERIES BONDS PC F/S ,Y,Y
026510325ECUADOR,PAR PC ECUADOR USD PAR SERIES BONDS PC F/S ,Y,Y
026510464SDNY,DIST-CR SUISSSDNY2D        ,N,Y20141107
026546784IFC,PI IFC-PI        ,Y,Y
026548397SECTY,TREAS FHA FEDERAL HOUSING ADMINISTRATION     ,N,Y
026548407SECTY,TREAS WASH FINANCIAL MANANGEMENT SERVICES     ,N,Y
026590028REFCORP,P&I RESOLUTION FUNDING CORP. - P. & I.  ,Y,Y
026590073IADB,P&I INTER-AMERICAN DEV. BK ORD. CAPITAL    ,Y,Y20060328
026590109IBRD,PI IBRD - PRINCIPAL & INTEREST ACCOUNT   ,Y,Y
026590219SLMG,GEN NYC DEFEASANCE TRUST ISSUER ACCOUNT    ,N,Y20041230
026590222SLMA,PRIN NYC FRBNY SALLIE MAE P&I ACCOUNT   ,Y,Y20070315
026590701FHLB,WASHS P&I FHLB - PRINCIPAL & INTEREST ACCOUNT  ,Y,Y20140414
026590727FREDDIE,MAC P & I FED HOME LOAN MORT. PRIN. &,Y,Y20060215
026590798FNMA,CLR FNMA MBS CLEARING      ,Y,N20131008
026590808FNMA,DC FNMA MORTGAGE PURCHASE ACCOUNT     ,Y,N
026590837AFDB,P&I AFRICAN DEVEL. BK REG. SUB. ACCOUNT   ,Y,Y20141107
026591072ASDN,P&I ASIAN DEVELOPMENT BK-BEARER ACCOUNT     ,Y,Y20141107
031000037MELLON,EAST PSFS THE BANK OF NEW YORK MELLON  ,Y,N20141107
031000040FRB,PHIL FEDERAL RESERVE BANK OF PHILADELPHIA    ,Y,Y19990519
031000053PNCBANK,"PHIL PNC BANK, NATIONAL ASSOCIATION     ",Y,N20141107
031040026FHLB,NYC FEDERAL HOME LOAN BANK OF NEW YORK  ,Y,SN20130625
031059567DEPARTMENT,OF LABODEPT OF LABOR      ,N,Y20100827
031099996TREAS,DIRECT LEGACY TREASURY DIRECT      ,N,Y20141107
031100089PNCBANK,"WILM DEL PNC BANK, NATIONAL ASSOCIATION    ",Y,N20130211
031100092WIL,TRUST MANUFACTURERS & TRADERS TRUST CO.    ,Y,N20121213
031100102WSFS,"WILM DE WILMINGTON SAVINGS FUND SOCIETY, FSB   ",Y,Y20101203
031100209CBNA,"DEL CITIBANK, N.A.       ",Y,N20141107
031100351BK,OF NY WILM BNY MELLON TRUST OF DELAWARE  ,Y,SN20140429
031100380DEUTSCHE,BK TR DELDEUTSCHE BANK TRUST COMPANY DELAWARE   ,Y,Y20030815
031100649DISCOVER,BANK DISCOVER BANK       ,Y,Y20000803
031100966APPLIED,BANK APPLIED BANK       ,Y,Y20090127
031101114THE,BANCORP BANK THE BANCORP BANK     ,Y,Y20130603
031101127BARCLAYS,BANK DELABARCLAYS BANK DELAWARE      ,Y,N20070802
031101143RBS,"CITIZENS, N.A.CITIZENS BANK, NATIONAL ASSOCIATION     ",Y,N20141107
031101169THE,BANCORP BANK THE BANCORP BANK     ,Y,N20130603
031101208HSBC,TRUST DE HSBC TRUST COMPANY DELAWARE N.A.   ,Y,N20140102
031101240MIDCOAST,COMMUNITYMIDCOAST COMMUNITY BANK       ,Y,SY20110330
031101266TD,"BANK NA TD BANK, NA     ",Y,Y20090708
031101282COMENITY,BANK COMENITY BANK       ,Y,SY20130927
031101295BARCLAYS,WEALTH TRBARCLAYS WEALTH TRUSTEES US NA    ,Y,SN20110324
031101305MORGAN,STANLEY TR MORGAN STANLEY PRIVATE BANK NA   ,Y,SN20121213
031101347TD,"BANK USA, NA TD BANK USA, NATIONAL ASSOCIATION  ",Y,SY20131016
031176110CAPITAL,"ONE NA CAPITAL ONE, NA     ",Y,N20130806
031176136GMAC,BANK ALLY BANK       ,Y,N20130418
031201085PENNSVILLE,NATL PENNSVILLE NATIONAL BANK      ,Y,Y
031201360TD,"BANK, NA TD BANK, NA     ",Y,N20091110
031203915FIRST,ELMER THE FIRST NATL BANK OF ELMER   ,Y,Y
031204804FIRST,ABSECON THE FIRST N/B OF ABSECON    ,Y,Y
031205340NEWFIELD,NATL NEWFIELD NATIONAL BANK      ,Y,Y
031206420SUN,NATL MEDFORD SUN NATIONAL BANK     ,Y,Y20150604
031207607PNCBANK,"NJ PNC BANK, NATIONAL ASSOCIATION     ",Y,N20121231
031207636FULTON,BANK NJ FULTON BANK OF NEW JERSEY   ,Y,Y20111024
031207678SHORE,COMM BK TOMSSHORE COMMUNITY BANK     ,Y,Y
031207694CROWN,BK ELIZABETHCROWN BANK       ,Y,Y20140807
031207814PARKE,BANK PARKE BANK       ,Y,N20141121
031207827HOPEWELL,VLY COMBKHOPEWELL VALLEY COMMUNITY BANK     ,Y,N20090827
031207830CORNERSTONE,BANK CORNERSTONE BANK       ,Y,N20130801
