V1,V2,V3,V4
011600020MERCHANTS,BURL VT MERCHANTS BANK      ,Y,Y
011600033TD,"BANK, NA TD BANK, NA     ",Y,N20141107
011600062PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011600567PEOPLES,TRUST CO PEOPLES TRUST COMPANY     ,N,Y20141107
011600774FIRST,BRANDON LAKE SUNAPEE BANK FSB     ,Y,N20141107
011601029COMMUNITY,DERBY COMMUNITY NATIONAL BANK      ,Y,Y20130110
011601074BERKSHIRE,BANK BERKSHIRE BANK       ,Y,N20141107
011601087NATL,MIDDLEBURY NATIONAL BANK OF MIDDLEBURY     ,Y,Y
011601100UNION,MORRISVILLE UNION BANK       ,Y,Y
011601142FIRST,ORWELL FIRST NATIONAL BK. OF ORWELL    ,Y,Y
011601236LAKE,SUNAPEE BANK LAKE SUNAPEE BANK FSB    ,Y,N20100330
011700425NORTHWAY,BANK NORTHWAY BANK       ,Y,Y20120328
011701107PASSUMPSIC,SVGS BKPASSUMPSIC SAVINGS BANK      ,Y,N20080828
011701288NORTHWAY,BANK NORTHWAY BANK       ,Y,Y20141107
011701314GRANITE,BANK GRANITE BANK       ,Y,Y20150324
011701903COMMUNITY,PLYMOUTHCOMMUNITY GUARANTY SAVINGS BANK      ,Y,Y20090917
011701987LEDYARD,HANOVER LEDYARD NATIONAL BANK N.A     ,Y,Y
011802488PEOPLES,"BANK PEOPLE'S UNITED BANK, NA     ",Y,N20150220
011805388LENOX,NATL LENOX NATIONAL BANK      ,Y,Y
011807043FIRST,"NIAGARA FIRST NIAGARA BANK, NA     ",Y,N20141107
011910697BERKSHIRE,BANK BERKSHIRE BANK       ,Y,N20121218
011975221TCF,HARTFORD TCF NATIONAL BANK      ,Y,N20120601
021000018BK,OF NYC THE BANK OF NEW YORK MELLON  ,Y,Y20080701
021000021JPMCHASE,"JPMORGAN CHASE BANK, NA      ",Y,Y20041112
021000089CITIBANK,"NYC CITIBANK, N.A.       ",Y,Y20120622
021001033DBTCO,AMERICAS NYCDEUTSCHE BANK TRUST CO. AMERICAS    ,Y,Y20020909
021001088HSBC,"USA HSBC BANK USA, NA     ",Y,Y20120620
021001208FRB,NYC FRB NEW YORK      ,Y,Y
021001486EURO,"AMER NYC CITIBANK, N.A.      ",Y,N20141107
021004823REPUBLIC,"NYC HSBC BANK USA, NA     ",Y,N20141107
021030004TREAS,NYC TREAS NYC/FUNDS TRANSFER DIVISION     ,Y,N
021031003FHLBB,WASHS FHLB- GENERAL ACCOUNT      ,Y,Y20140411
021033205FHLMC,WASHS FED. HOME LOAN MORT. GENERAL ACCOUNT   ,Y,Y20140411
021033409FCA,NYCS FARM CREDIT BANK-GENERAL ACCT     ,Y,Y20140411
021033506FICO,WASH FINANCING CORP. - GEN ACCT.    ,Y,Y
021033519FICO,P&I FINANCING CORP. P & I ACCOUNT   ,Y,Y20060215
021038200FARM,CREDIT P&I FEDERAL FARM-CON.SYSTEM BDS     ,Y,Y20060215
021038857REFCORP,RESOLUTION FUNDING CORP. GENERAL      ,Y,Y
021039500FNMA,NYC FNMA - GENERAL ACCOUNT     ,Y,Y
021039513FHLMC,INVESTOR PI FEDERAL HOME LOAN MTG. INVESTOR PI  ,Y,Y20080918
021039526FREDDIE,MAC MBS PIFHL MORTG. PC ISSUE - P & I,Y,Y20060215
021039539FMAE,DC MBS FNMA BOOK ENTRY MORTGAGE ACCOUNT   ,Y,Y
021050165FARMER,MAC PI FEDERAL AGRICULT'RL MORTG.CORP.(P&I)     ,Y,Y
